b[l][a],b,b,Implemented,P1,BASIC,41,65,Branch I-form
b[l][a],ba,b,Implemented,P1,BASIC,41,65,Branch I-form
b[l][a],bl,b,Implemented,P1,BASIC,41,65,Branch I-form
b[l][a],bla,b,Implemented,P1,BASIC,41,65,Branch I-form
bc[l][a],bc,bc,Implemented,P1,BASIC,41,65,Branch Conditional B-form
bc[l][a],bca,bc,Implemented,P1,BASIC,41,65,Branch Conditional B-form
bc[l][a],bcl,bc,Implemented,P1,BASIC,41,65,Branch Conditional B-form
bc[l][a],bcla,bc,Implemented,P1,BASIC,41,65,Branch Conditional B-form
bcctr[l],bcctr,bcctr,Implemented,P1,BASIC,42,66,Branch Conditional to Count Register XL-form
bcctr[l],bcctrl,bcctr,Implemented,P1,BASIC,42,66,Branch Conditional to Count Register XL-form
bclr[l],bclr,bclr,Implemented,P1,BASIC,42,66,Branch Conditional to Link Register XL-form
bclr[l],bclrl,bclr,Implemented,P1,BASIC,42,66,Branch Conditional to Link Register XL-form
bctar[l],bctar,bctar,Implemented,v2.07,BASIC,43,67,Branch Conditional to Branch Target Address Register XL-form
bctar[l],bctarl,bctar,Implemented,v2.07,BASIC,43,67,Branch Conditional to Branch Target Address Register XL-form
crand,crand,crand,Implemented,P1,BASIC,44,68,Condition Register AND XL-form
crnand,crnand,crnand,Implemented,P1,BASIC,44,68,Condition Register NAND XL-form
cror,cror,cror,Implemented,P1,BASIC,44,68,Condition Register OR XL-form
crxor,crxor,crxor,Implemented,P1,BASIC,44,68,Condition Register XOR XL-form
crandc,crandc,crandc,Implemented,P1,BASIC,45,69,Condition Register AND with Complement XL-form
creqv,creqv,creqv,Implemented,P1,BASIC,45,69,Condition Register Equivalent XL-form
crnor,crnor,crnor,Implemented,P1,BASIC,45,69,Condition Register NOR XL-form
crorc,crorc,crorc,Implemented,P1,BASIC,45,69,Condition Register OR with Complement XL-form
mcrf,mcrf,mcrf,Implemented,P1,BASIC,46,70,Move Condition Register Field XL-form
sc,sc,sc,Implemented,PPC,BASIC,47,71,System Call SC-form
lbz,lbz,lbz,Implemented,P1,BASIC,52,76,Load Byte and Zero D-form
lbzu,lbzu,lbzu,Implemented,P1,BASIC,52,76,Load Byte and Zero with Update D-form
lbzux,lbzux,lbzux,Implemented,P1,BASIC,52,76,Load Byte and Zero with Update Indexed X-form
lbzx,lbzx,lbzx,Implemented,P1,BASIC,52,76,Load Byte and Zero Indexed X-form
lhz,lhz,lhz,Implemented,P1,BASIC,53,77,Load Halfword and Zero D-form
lhzu,lhzu,lhzu,Implemented,P1,BASIC,53,77,Load Halfword and Zero with Update D-form
lhzux,lhzux,lhzux,Implemented,P1,BASIC,53,77,Load Halfword and Zero with Update Indexed X-form
lhzx,lhzx,lhzx,Implemented,P1,BASIC,53,77,Load Halfword and Zero Indexed X-form
lha,lha,lha,Implemented,P1,BASIC,54,78,Load Halfword Algebraic D-form
lhau,lhau,lhau,Implemented,P1,BASIC,54,78,Load Halfword Algebraic with Update D-form
lhaux,lhaux,lhaux,Implemented,P1,BASIC,54,78,Load Halfword Algebraic with Update Indexed X-form
lhax,lhax,lhax,Implemented,P1,BASIC,54,78,Load Halfword Algebraic Indexed X-form
lwz,lwz,lwz,Implemented,P1,BASIC,55,79,Load Word and Zero D-form
lwzu,lwzu,lwzu,Implemented,P1,BASIC,55,79,Load Word and Zero with Update D-form
lwzux,lwzux,lwzux,Implemented,P1,BASIC,55,79,Load Word and Zero with Update Indexed X-form
lwzx,lwzx,lwzx,Implemented,P1,BASIC,55,79,Load Word and Zero Indexed X-form
lwa,lwa,lwa,Implemented,PPC,BASIC,56,80,Load Word Algebraic DS-form
lwaux,lwaux,lwaux,Implemented,PPC,BASIC,56,80,Load Word Algebraic with Update Indexed X-form
lwax,lwax,lwax,Implemented,PPC,BASIC,56,80,Load Word Algebraic Indexed X-form
ld,ld,ld,Implemented,PPC,BASIC,57,81,Load Doubleword DS-form
ldu,ldu,ldu,Implemented,PPC,BASIC,57,81,Load Doubleword with Update DS-form
ldux,ldux,ldux,Implemented,PPC,BASIC,57,81,Load Doubleword with Update Indexed X-form
ldx,ldx,ldx,Implemented,PPC,BASIC,57,81,Load Doubleword Indexed X-form
stb,stb,stb,Implemented,P1,BASIC,59,83,Store Byte D-form
stbu,stbu,stbu,Implemented,P1,BASIC,59,83,Store Byte with Update D-form
stbux,stbux,stbux,Implemented,P1,BASIC,59,83,Store Byte with Update Indexed X-form
stbx,stbx,stbx,Implemented,P1,BASIC,59,83,Store Byte Indexed X-form
sth,sth,sth,Implemented,P1,BASIC,60,84,Store Halfword D-form
sthu,sthu,sthu,Implemented,P1,BASIC,60,84,Store Halfword with Update D-form
sthux,sthux,sthux,Implemented,P1,BASIC,60,84,Store Halfword with Update Indexed X-form
sthx,sthx,sthx,Implemented,P1,BASIC,60,84,Store Halfword Indexed X-form
stw,stw,stw,Implemented,P1,BASIC,61,85,Store Word D-form
stwu,stwu,stwu,Implemented,P1,BASIC,61,85,Store Word with Update D-form
stwux,stwux,stwux,Implemented,P1,BASIC,61,85,Store Word with Update Indexed X-form
stwx,stwx,stwx,Implemented,P1,BASIC,61,85,Store Word Indexed X-form
std,std,std,Implemented,PPC,BASIC,62,86,Store Doubleword DS-form
stdu,stdu,stdu,Implemented,PPC,BASIC,62,86,Store Doubleword with Update DS-form
stdx,stdx,stdx,Implemented,PPC,BASIC,62,86,Store Doubleword Indexed X-form
stdux,stdux,stdux,Implemented,PPC,BASIC,63,87,Store Doubleword with Update Indexed X-form
lq,lq,lq,Unimplemented,v2.03,BASIC,65,89,Load Quadword DQ-form
stq,stq,stq,Unimplemented,v2.03,BASIC,66,90,Store Quadword DS-form
lhbrx,lhbrx,lhbrx,Implemented,P1,BASIC,67,91,Load Halfword Byte-Reverse Indexed X-form
sthbrx,sthbrx,sthbrx,Implemented,P1,BASIC,67,91,Store Halfword Byte-Reverse Indexed X-form
lwbrx,lwbrx,lwbrx,Implemented,P1,BASIC,68,92,Load Word Byte-Reverse Indexed X-form
stwbrx,stwbrx,stwbrx,Implemented,P1,BASIC,68,92,Store Word Byte-Reverse Indexed X-form
ldbrx,ldbrx,ldbrx,Implemented,v2.06,BASIC,69,93,Load Doubleword Byte-Reverse Indexed X-form
stdbrx,stdbrx,stdbrx,Implemented,v2.06,BASIC,69,93,Store Doubleword Byte-Reverse Indexed X-form
lmw,lmw,lmw,Unimplemented,P1,BASIC,70,94,Load Multiple Word D-form
